Quote,Author
"There are two kinds of climbers: those who climb because their heart sings when they're in the mountains, and all the rest.",Alex Lowe
"I am an amateur mountain climber. Once or twice a year I go off to Chamonix in the French Alps, under Mont Blanc, and with a guide do treks that include rock climbing at high altitude.",Robert Littell
You have to be careful of social climbers. There are a lot of potholes out there.,Ian Ziering
"People say, 'Are you insane?' But the most successful climbers are the most calculating, with the most refined sense of risk. They're hyper-conscious of safety. They're the least insane people I know.",Jimmy Chin
The best climber is the one who has the most fun.,Alex Lowe
When I lost seven of my toes on Nanga Parbat and small parts of my fingertips I knew I'd never be a great rock climber. So I specialized in high-altitude climbing.,Reinhold Messner
"I don't regard myself as a cracking good climber. I'm just strong in the back. I have a lot of enthusiasm, and I'm good on ice.",Edmund Hillary
"I think our storytellers - our songwriters should be great storytellers, and they should be mountain climbers and explorers, because music is something that can cross all different borders.",Jason Mraz
"I feel like an old-fashioned mountain climber when I am making discoveries, seeing something for the first time, realizing that no human before me has ever seen what I am seeing. It takes your breath away - for just a moment, you feel a pause in time, as you know you are crossing a boundary into a new realm of knowledge.",Heidi Hammel
"I know I'm not a cutting-edge free climber. Free soloing, I'm comfortable to 5.10-plus or 5.11a. But if I was a grade higher I could do some amazing things.",Dean Potter
"I adhere to my exercise program, which is about 20 minutes a day. I do it seven days a week. I have a little stall in the breezeway of our garage where I have a walking machine, a stair climber, and I do 15 pound weights, and I watch television. Because I hate exercise.",Dick Clark
"In climbing, sponsors typically support an athlete but provide very little direction, giving the climber free rein to follow his or her passion toward whatever is inspiring. It's a wonderful freedom, in many ways similar to that of an artist who simply lives his life and creates whatever moves him.",Alex Honnold
There is something addictive in space that makes you want to go back - like the mountain climbers who want to go back to the Himalayas although their fingers were cut by frostbite.,Yi So-Yeon
"There are three things in life I really don't like: Rice pudding. Social climbers - you know, hang-ons! And the photo shoot!",Ivana Trump
"My brother Bill, who is a year older, is a climber, and when I was in the seventh grade, he taught me how to rappel off the frozen waterfall in our backyard.",Ann Bancroft
"I do heavy weight deadlift squats, shoulder presses, push-ups, and I can pull up my own body weight. And I do an ab workout just about every night. It's 200 reps of five different exercises four times right before bed: a plank with hip twists, side bridge dips, a walking mountain climber, bicycles and leg lift.",Shalita Grant
"I don't mind being called snobbish, a pain and a social climber, but being called unkind really hurts.",Rachel Johnson
"Even though Czech food is traditionally a bit heavy, especially for a climber, I can't resist some dishes: sveckova, for example, is beef in a creamy sauce with celery and dumplings. It's probably fortunate that I don't know how to cook it myself.",Adam Ondra
My mother and father met through climbing and it was totally natural that I would become a climber too.,Adam Ondra
"When I was a teenager, I did a lot of pull-ups and push-ups. Every night before bed, I'd do 150 - in sets of 30 or so. Looking back on it now, I'm not totally sure that's the best way to improve as a climber. But it did make me a lot better at doing pull-ups and push-ups.",Alex Honnold
"I think speed climbing is kind of an artificial discipline. Climbers compete on the same holds and train on the same holds, which doesn't have much in common with the climbing philosophy in my opinion.",Adam Ondra
"Ever since the morning of May 29, 1953, when Tenzing Norgay and I became the first climbers to step onto the summit of Mount Everest, I've been called a great adventurer.",Edmund Hillary
Many climbers use the term 'objective hazard; to denote something they aren't to be held accountable for. I held myself accountable for the mistakes I made over the years.,Jeff Lowe
"I've definitely got lists of things I'd love to accomplish as a climber. But let's face it: The world's full of climbers, and the realm of unexplored, unclimbed peaks is shrinking rapidly.",Alex Lowe
There are way more powerful climbers compared to me but I think I can really take advantage of all my power due to my technique.,Adam Ondra
"I think part of my business problems stemmed from a feeling that I had to be more than a good climber, that I had to do something more 'meaningful.' And that may come from my father.",Jeff Lowe
I don't know a lot about mountaineering. I once went walking in the Lake District with the legendary climber Chris Bonington and had to have emergency physio afterwards to regain sensation in my thighs.,Sandi Toksvig
"The mission of professional mountain climbers is almost impossibly difficult by design: Their very livelihood is based on achieving the unprecedented. Their expeditions are complicated, exhausting, often life-threatening. Risk is the fuel that keeps them going.",Elizabeth Chai Vasarhelyi
The top climbers in the world had attempted this climb and couldn't do it. That history is what makes Meru special.,Elizabeth Chai Vasarhelyi
Albert Frederick Mummery and Chris Bonington are the British climbers I most admire.,Reinhold Messner
"Out of all the climbers of this generation, I was the one who became known to the larger public. Many of them - not all of them, but many of them - understood they had only one chance to use me for their personal gain. And it's very easy to use me.",Reinhold Messner
"A 30-year-old rock climber is an old man. At 40, one is in the middle of his high-altitude power. At 50, a crosser of deserts is at his best age. But at 60, each of us is out of the game.",Reinhold Messner
"I became famous for the fact that I would break many, many limits. People said, 'He does all these crazy things.' But oddly it was a crazy thing only because scientists and climbers said, 'Everest and the 8,000-meter peaks without oxygen - impossible. Messner is becoming sick in his head.'",Reinhold Messner
"I am not so famous. I'm known in a few countries like Italy, Austria, Germany, Switzerland and around the Alps. Some climbers in Beijing know my name, and some in America, but I am not really famous. It's very relative, my fame.",Reinhold Messner
The art of climbing is the art of survival. The best climber is the man or woman going in the most crazy places but surviving.,Reinhold Messner
"The best climbers no longer go to the 8000ers, but to the most difficult mountains in the world which are 6000 or 7000-meter-peaks. There they find any kind of playground. But it is a pity that the really good climbers have fewer opportunities to finance their expeditions because so much attention is taken away by the Everest tourists.",Reinhold Messner
"For years I was a rock climber and nothing else. I went to school, yes, and university, yes, but in my heart I was a rock climber.",Reinhold Messner
Hunters get lost all the time. There's just an outcry against climbers because a lot of people don't understand climbers and they think they're crazy.,Jeff Lowe
"In 'The Prophet,' Kahlil Gibran says something about perfection only being reached by stripping something to the point of nakedness. That's the ultimate project: the naked climber doing the greatest climb.",Dean Potter
I consider myself a rock climber but the definition of rock climbing as has changed.,Dean Potter
"I also know for a fact of at least two other ascents of the Delicate Arch. But when 'Outside' did their research, the other two climbers wouldn't admit to it, and I admit to it because I don't see anything wrong with a man climbing a rock.",Dean Potter
"I'm not a great technical climber, but over the years it has given me the opportunity to see wonderful corners of Britain that I wouldn't have been able to experience any other way.",Steve Backshall
Life's a bit like mountaineering - never look down.,Edmund Hillary
"There are three elements of mountaineering - difficulty, danger, and exposure. Difficulty is the technical aspect of it. Danger, it is best to avoid, but some people like to increase danger to a point where their success is dependent only on luck. And exposure, which is what truly defines Alpinism, is what you face in wild nature.",Reinhold Messner
"In all my wild mountaineering, I have enjoyed only one avalanche ride; and the start was so sudden, and the end came so soon, I thought but little of the danger that goes with this sort of travel, though one thinks fast at such times.",John Muir
Mountaineering has always been a huge hobby of mine.,Andy Serkis
"I like to think of Everest as a great mountaineering challenge, and when you've got people just streaming up the mountain - well, many of them are just climbing it to get their name in the paper, really.",Edmund Hillary
"Mountaineering is over. Alpinism is dead. Maybe its spirit is still alive a little in Britain and America, but it will soon die out.",Reinhold Messner
"As time went on, I did campaign to lighten the character a little bit, to introduce some romance into the episodes, outside activities, horse riding and fencing and mountaineering.",Patrick Stewart
"The Sherpas play a very important role in most mountaineering expeditions, and in fact many of them lead along the ridges and up to the summit.",Edmund Hillary
"Nothing to mountaineering, just a little physical endurance, a good deal of brains, lots of practice, and plenty of warm clothing.",Annie Smith Peck
"Mountaineering is one of the most difficult sports - we are away from routine life for days, living in tents, and it requires high degree of physical and mental strength.",Samina Baig
"Look, I do not control alpinism. But maybe I was too successful. Many in the mountaineering scene - journalists, second-rate climbers, lecturers, so-called historians - had a problem with me for many years.",Reinhold Messner
"I really haven't liked the commercialization of mountaineering, particularly of Mt. Everest. By paying $65,000, you can be conducted to the summit by a couple of good guides.",Edmund Hillary
"Abundant choice doesn't force us to look for the absolute best of everything. It allows us to find the extremes in those things we really care about, whether that means great coffee, jeans cut wide across the hips, or a spouse who shares your zeal for mountaineering, Zen meditation, and science fiction.",Virginia Postrel
"My mountaineering skills are not important to my best photographs, but they do add a component to my work that is definitely a bit different than that of most photographers.",Galen Rowell
"For me, making films is like being on vacation, it's a nice walk. But theatre is like mountaineering. You never know whether you're going to fall off or make it to the top.",Isabelle Huppert
"Rob Hall was, without doubt, the most competent guide in mountaineering.",Jon Krakauer
"I've loved mountains since I was a girl, and when I discovered mountaineering fiction after college, I was hooked.",Sabaa Tahir
I don't know a lot about mountaineering. I once went walking in the Lake District with the legendary climber Chris Bonington and had to have emergency physio afterwards to regain sensation in my thighs.,Sandi Toksvig
"In climbing there is no question of right or wrong. Moral right or wrong, that is a religious question, they have nothing to do with anarchical activity, and classical mountaineering is a completely anarchical activity.",Reinhold Messner
"In mountaineering, there is not only the activity, but the philosophy behind it. Some say a moral, but I am against that because all morality is dangerous.",Reinhold Messner
This is one of my definitions of mountaineering: to go where others do not.,Reinhold Messner
"Over every mountain there is a path, although it may not be seen from the valley.",Theodore Roethke
It is not the mountain we conquer but ourselves.,Edmund Hillary
"Earth and sky, woods and fields, lakes and rivers, the mountain and the sea, are excellent schoolmasters, and teach some of us more than we can ever learn from books.",John Lubbock
Never measure the height of a mountain until you have reached the top. Then you will see how low it was.,Dag Hammarskjold
"Only if you have been in the deepest valley, can you ever know how magnificent it is to be on the highest mountain.",Richard M. Nixon
"Being positive is like going up a mountain. Being negative is like sliding down a hill. A lot of times, people want to take the easy way out, because it's basically what they've understood throughout their lives.",Chuck D
,
It isn't the mountain ahead that wears you out; it's the grain of sand in your shoe.,Robert W. Service
Every man should pull a boat over a mountain once in his life.,Werner Herzog
The top of one mountain is always the bottom of another.,Marianne Williamson
"Space Mountain may be the oldest ride in the park, but it has the longest line.",Ric Flair
"When the sun is shining I can do anything; no mountain is too high, no trouble too difficult to overcome.",Wilma Rudolph
"I'll love you, dear, I'll love you till China and Africa meet and the river jumps over the mountain and the salmon sing in the street.",W. H. Auden
"There's no glory in climbing a mountain if all you want to do is to get to the top. It's experiencing the climb itself - in all its moments of revelation, heartbreak, and fatigue - that has to be the goal.",Karyn Kusama
"I feel like I'm on top of the world. Honestly, I feel like I've climbed a very giant mountain, and I'm just standing right on top with my arms wide open and breathing rarified air.",Shania Twain
"You don't climb mountains without a team, you don't climb mountains without being fit, you don't climb mountains without being prepared and you don't climb mountains without balancing the risks and rewards. And you never climb a mountain on accident - it has to be intentional.",Mark Udall
"Oh, these vast, calm, measureless mountain days, days in whose light everything seems equally divine, opening a thousand windows to show us God.",John Muir
,
"Born on a mountain, raised in a cave. Arresting fugitives is all I crave.",Duane Chapman
"Sometimes you climb the mountain, and you fall and fail. Maybe there is a different path that will take you up. Sometimes a different mountain.",Caterina Fake
"To live only for some future goal is shallow. It's the sides of the mountain that sustain life, not the top.",Robert M. Pirsig
Climbing the mountain is always more fun than sitting at the top. It's just you have to find different mountains to climb.,Dan Bilzerian
"I was in a mountain biking accident and broke my sternum about three months before my unit was supposed to deploy to Iraq, and it's such a close-knit community that the idea of not getting to go is hugely jarring, so I tried to get put back in training and wound up injuring it worse.",Adam Driver
"I'm going to die one day. I know it's coming for me, too. I'll be a mountain, I'll be a stone on the beach. I'll be nourishment.",Mary Oliver
Popularity is a bubble. It's a mountain: you can go up really hard but walk down really fast.,RM
"I've been blessed to be somebody that's been climbing that success mountain top for years of hard work, you know, but now it's all connecting. And now, the whole world is watching, you know what I'm saying, and it feels good 'cause it's good energy. This is all positive vibes, and good vibes and good energy, so it feels incredible.",DJ Khaled
"I had daydreams and fantasies when I was growing up. I always wanted to live in a log cabin at the foot of a mountain. I would ride my horse to town and pick up provisions. Then return to the cabin, with a big open fire, a record player and peace.",Linda McCartney
"'Shan shui' you can literally translate as 'mountain and water.' In traditional Chinese culture, there are a lot of paintings about shan shui, but now we're talking about a shan-shui city.",Ma Yansong
"Etiquette is all human social behavior. If you're a hermit on a mountain, you don't have to worry about etiquette; if somebody comes up the mountain, then you've got a problem. It matters because we want to live in reasonably harmonious communities.",Judith Martin
My first commercial ever was a Dr. Pepper commercial. And then I did a Mountain Dew commercial. A lot of soft drinks.,Milo Ventimiglia
"No matter what, I always make it home for Christmas. I love to go to my Tennessee Mountain Home and invite all of my nieces and nephews and their spouses and kids and do what we all like to do - eat, laugh, trade presents and just enjoy each other... and sometimes I even dress up like Santa Claus!",Dolly Parton
"Justice is an unassailable fortress, built on the brow of a mountain which cannot be overthrown by the violence of torrents, nor demolished by the force of armies.",Joseph Addison
"Almost a quarter of our planet is a single mountain range and we didn't enter it until after Neil Armstrong and Buzz Aldrin went to the moon. So we went to the moon, played golf up there, before we went to the largest feature on our own planet.",Robert Ballard
"The waving of a pine tree on the top of a mountain - a magic wand in Nature's hand - every devout mountaineer knows its power; but the marvelous beauty value of what the Scotch call a breckan in a still dell, what poet has sung this?",John Muir
"The cliche is that life is a mountain. You go up, reach the top and then go down.",Jeanne Moreau
"Looking back, yes, I made too many comebacks. But each comeback I was 100 percent sure that I would win. I never came back for the money, because I didn't need it. The adulation I was getting anyway in other spheres. But I'm a guy who likes to see how close he can get to the edge of the mountain - that's what makes me tick.",Sugar Ray Leonard
"The destruction of the natural beauty, the ecosystems, and the majesty of mountains affect us in ways we're not even aware of. Every time a mountain is beheaded, we chop off a little part of our souls.",Gloria Reuben
"I died on that mountain, too. I left a part of myself up there.",Marcus Luttrell
"Success comes to those who have an entire mountain of gold that they continually mine, not those who find one nugget and try to live on it for fifty years.",John C. Maxwell
A friend who is far away is sometimes much nearer than one who is at hand. Is not the mountain far more awe-inspiring and more clearly visible to one passing through the valley than to those who inhabit the mountain?,Khalil Gibran
"We've been swimming at nude beaches and I love to go skinny dipping, but I'm sorry, sitting on top of a mountain, that's just, you're trying to show off or something. That's ridiculous.",Andy Richter
"I just want to do God's will. And he's allowed me to go to the mountain. And I've looked over, and I've seen the promised land! I may not get there with you, but I want you to know tonight that we as a people will get to the promised land.","Martin Luther King, Jr."
"It is possible that Mount Olympus may have supplied the poets with the hint for saying that Jupiter obtained the kingdom of heaven, because Olympus is the common name both of the mountain and of heaven.",Lactantius
"Cycling keeps me lean and I need to stay in shape, especially as I still like eating chocolate and ice-cream! I like to go mountain biking too. Running is also good; it's what we were designed to do as humans, so it comes naturally.",Mark Webber
"Maitake mushrooms are known in Japan as 'the dancing mushroom.' According to a Japanese legend, a group of Buddhist nuns and woodcutters met on a mountain trail, where they discovered a fruiting of maitake mushrooms emerging from the forest floor. Rejoicing at their discovery of this delicious mushroom, they danced to celebrate.",Paul Stamets
"My boyfriend's idea of a lesson was to take me on a black diamond run in the middle of a hail storm and say, 'Go!' Ski patrol had to escort me to another lift to get me down the mountain. No, that wasn't humiliating, not at all.",Claudia Black
The earth's crust has not yet stopped heaving and plunging under our feet. Mountain ranges are still being thrust up on the horizon. Granites are still growing under the continental masses. Nor has the organic world ceased to produce new buds at the tips of its countless branches.,Pierre Teilhard de Chardin
"I'm a great believer in trying things, so I've eaten witchetty grubs, a mountain frog, ostrich and alligator. I like tongue, I like brains and tripe.",Monty Don
We would get VHS tapes from wrestlers who wanted to come to Smoky Mountain. I got this tape from a guy called Lance Storm who I saw leaping from the top rope and cutting these great dropkicks. And the kid Chris Jericho he was with wasn't too bad either.,Jim Cornette
"The Band is probably the ultimate example of people taking all kinds of music, from gospel to blues to mountain music to folk music to on and on and on and on and putting them all in this big pot and mixing up a new gumbo.",Robbie Robertson
"I am an amateur mountain climber. Once or twice a year I go off to Chamonix in the French Alps, under Mont Blanc, and with a guide do treks that include rock climbing at high altitude.",Robert Littell
,
"One of the questions I get asked a lot is, 'What do you do to stay in shape?' My glib answer is, 'I play.' But I mean it. Sure, I go to the gym, but I don't spend my life there. Most of my activity is outdoors, whether it's basketball or mountain biking or rock climbing.",Jason Lewis
"I think our storytellers - our songwriters should be great storytellers, and they should be mountain climbers and explorers, because music is something that can cross all different borders.",Jason Mraz
"I feel like an old-fashioned mountain climber when I am making discoveries, seeing something for the first time, realizing that no human before me has ever seen what I am seeing. It takes your breath away - for just a moment, you feel a pause in time, as you know you are crossing a boundary into a new realm of knowledge.",Heidi Hammel
"Beauty is that little something that fills the whole world, and is contained neither in a single straight nose, a long eyelash, nor a blue mountain. Some see it in a leg of mutton, others in a compound fracture; and to expect others to accept one's own definition of it is as absurd as to expect all humanity to use the same toilet-brush.",William Morris Hunt
"After much prayerful consideration, I feel that I must say I have climbed my last political mountain.",George Wallace
"I'm a huge camper, and love hiking and mountain biking.",Anna Torv
"They, that unnamed 'they,' they've knocked me down but I got up. I always get up-and I swear when I went down quite often I took the fall; nothing moves a mountain but itself. They, I've long ago named them me.",Gregory Corso
